Time,Timestamp,Pulse rate [bpm],spo2,ppg,strength,IBI,SDNN,SDSD,RMSSD,pNN20,pNN50
2022-08-03 15:21:35.203,1659511295.2031162,N,90,99,39,4,0,0,0,0,0,0
2022-08-03 15:21:35.218,1659511295.2182057,N,90,99,39,4,0,0,0,0,0,0
2022-08-03 15:21:35.234,1659511295.234722,N,90,99,39,4,0,0,0,0,0,0
2022-08-03 15:21:35.250,1659511295.2506795,N,90,99,39,4,0,0,0,0,0,0
2022-08-03 15:21:35.268,1659511295.2685592,N,90,99,37,4,0,0,0,0,0,0
2022-08-03 15:21:35.286,1659511295.2860038,N,90,99,36,4,0,0,0,0,0,0
2022-08-03 15:21:35.301,1659511295.3016093,N,90,99,34,4,0,0,0,0,0,0
2022-08-03 15:21:35.318,1659511295.3187153,N,90,99,32,3,0,0,0,0,0,0
2022-08-03 15:21:35.334,1659511295.334887,N,90,99,30,3,0,0,0,0,0,0
2022-08-03 15:21:35.351,1659511295.351705,N,90,99,28,3,0,0,0,0,0,0
2022-08-03 15:21:35.367,1659511295.3673382,N,90,99,25,3,0,0,0,0,0,0
2022-08-03 15:21:35.384,1659511295.3847222,N,90,99,23,2,0,0,0,0,0,0
2022-08-03 15:21:35.403,1659511295.403043,N,90,99,20,2,0,0,0,0,0,0
2022-08-03 15:21:35.417,1659511295.4171872,N,90,99,18,2,0,0,0,0,0,0
2022-08-03 15:21:35.434,1659511295.4347253,N,90,99,16,1,0,0,0,0,0,0
2022-08-03 15:21:35.452,1659511295.452408,N,90,99,14,1,0,0,0,0,0,0
2022-08-03 15:21:35.468,1659511295.4684048,N,90,99,11,1,0,0,0,0,0,0
2022-08-03 15:21:35.484,1659511295.4848435,N,90,99,9,1,0,0,0,0,0,0
2022-08-03 15:21:35.499,1659511295.4999957,N,90,99,8,0,0,0,0,0,0,0
2022-08-03 15:21:35.518,1659511295.518645,N,90,99,6,0,0,0,0,0,0,0
2022-08-03 15:21:35.536,1659511295.5362291,N,90,99,4,0,0,0,0,0,0,0
2022-08-03 15:21:35.550,1659511295.550905,N,90,99,4,0,0,0,0,0,0,0
2022-08-03 15:21:35.568,1659511295.568091,N,90,99,4,0,0,0,0,0,0,0
2022-08-03 15:21:35.584,1659511295.5846124,N,90,99,8,1,0,0,0,0,0,0
2022-08-03 15:21:35.600,1659511295.6006258,N,90,99,14,2,0,0,0,0,0,0
2022-08-03 15:21:35.617,1659511295.6179113,N,90,99,23,3,0,0,0,0,0,0
2022-08-03 15:21:35.633,1659511295.6336284,N,90,99,32,4,0,0,0,0,0,0
2022-08-03 15:21:35.652,1659511295.652641,N,90,99,41,5,0,0,0,0,0,0
2022-08-03 15:21:35.669,1659511295.669344,N,90,99,49,6,0,0,0,0,0,0
2022-08-03 15:21:35.685,1659511295.6858652,N,90,99,54,6,0,0,0,0,0,0
2022-08-03 15:21:35.701,1659511295.7018976,N,90,99,55,6,0,0,0,0,0,0
2022-08-03 15:21:35.719,1659511295.7190042,N,90,99,55,6,0,0,0,0,0,0
2022-08-03 15:21:35.753,1659511295.7532184,N,90,99,53,6,0,0,0,0,0,0
2022-08-03 15:21:35.756,1659511295.7564805,N,90,99,50,6,0,0,0,0,0,0
2022-08-03 15:21:35.764,1659511295.7647655,N,90,99,46,5,0,0,0,0,0,0
2022-08-03 15:21:35.783,1659511295.7831266,N,90,99,43,5,0,0,0,0,0,0
2022-08-03 15:21:35.800,1659511295.8009846,N,90,99,40,4,0,0,0,0,0,0
2022-08-03 15:21:35.815,1659511295.8157115,N,90,99,38,4,0,0,0,0,0,0
2022-08-03 15:21:35.835,1659511295.8352327,N,90,99,35,4,0,0,0,0,0,0
2022-08-03 15:21:35.852,1659511295.8526726,N,90,99,33,4,0,0,0,0,0,0
2022-08-03 15:21:35.868,1659511295.8680108,N,90,99,31,3,0,0,0,0,0,0
2022-08-03 15:21:35.883,1659511295.8837502,N,90,99,31,3,0,0,0,0,0,0
2022-08-03 15:21:35.898,1659511295.8987074,N,90,99,30,3,0,0,0,0,0,0
2022-08-03 15:21:35.917,1659511295.9170067,N,90,99,30,3,0,0,0,0,0,0
2022-08-03 15:21:35.934,1659511295.9347441,N,90,99,30,3,0,0,0,0,0,0
2022-08-03 15:21:35.950,1659511295.9502213,N,90,99,29,3,0,0,0,0,0,0
2022-08-03 15:21:35.968,1659511295.9682188,N,90,99,28,3,0,0,0,0,0,0
2022-08-03 15:21:35.984,1659511295.9843004,N,90,99,26,3,0,0,0,0,0,0
2022-08-03 15:21:36.001,1659511296.001586,N,90,99,24,2,0,0,0,0,0,0
2022-08-03 15:21:36.018,1659511296.0187042,N,90,99,22,2,0,0,0,0,0,0
2022-08-03 15:21:36.034,1659511296.034587,N,90,99,20,2,0,0,0,0,0,0
2022-08-03 15:21:36.050,1659511296.0507689,N,90,99,18,2,0,0,0,0,0,0
2022-08-03 15:21:36.067,1659511296.0671709,N,90,99,16,1,0,0,0,0,0,0
2022-08-03 15:21:36.085,1659511296.0859375,N,90,99,14,1,0,0,0,0,0,0
2022-08-03 15:21:36.102,1659511296.1023262,N,90,99,12,1,0,0,0,0,0,0
2022-08-03 15:21:36.119,1659511296.1199906,N,90,99,10,1,0,0,0,0,0,0
2022-08-03 15:21:36.135,1659511296.1356056,N,90,99,9,1,0,0,0,0,0,0
2022-08-03 15:21:36.152,1659511296.1526074,N,90,99,7,0,0,0,0,0,0,0
2022-08-03 15:21:36.168,1659511296.1684222,N,90,99,6,0,0,0,0,0,0,0
2022-08-03 15:21:36.186,1659511296.1860623,N,90,99,4,0,0,0,0,0,0,0
2022-08-03 15:21:36.201,1659511296.2016263,N,90,99,3,0,0,0,0,0,0,0
2022-08-03 15:21:36.218,1659511296.21837,N,90,99,2,0,0,0,0,0,0,0
2022-08-03 15:21:36.234,1659511296.2341201,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:36.253,1659511296.2531123,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:36.268,1659511296.268101,N,90,99,1,0,0,0,0,0,0,0
2022-08-03 15:21:36.284,1659511296.284474,N,90,99,5,1,0,0,0,0,0,0
2022-08-03 15:21:36.301,1659511296.3019552,N,90,99,11,1,0,0,0,0,0,0
2022-08-03 15:21:36.317,1659511296.317995,N,90,99,19,2,0,0,0,0,0,0
2022-08-03 15:21:36.334,1659511296.334048,N,90,99,27,3,0,0,0,0,0,0
2022-08-03 15:21:36.350,1659511296.3500078,N,90,99,35,4,0,0,0,0,0,0
2022-08-03 15:21:36.366,1659511296.366962,N,90,99,40,5,0,0,0,0,0,0
2022-08-03 15:21:36.383,1659511296.3838594,N,90,99,43,5,0,0,0,0,0,0
2022-08-03 15:21:36.398,1659511296.3988183,N,90,99,43,5,0,0,0,0,0,0
2022-08-03 15:21:36.417,1659511296.4179933,N,90,99,41,5,0,0,0,0,0,0
2022-08-03 15:21:36.434,1659511296.4349835,N,90,99,39,4,0,0,0,0,0,0
2022-08-03 15:21:36.451,1659511296.4510646,N,90,99,35,4,0,0,0,0,0,0
2022-08-03 15:21:36.466,1659511296.4661975,N,90,99,31,3,0,0,0,0,0,0
2022-08-03 15:21:36.486,1659511296.4864664,N,90,99,28,3,0,0,0,0,0,0
2022-08-03 15:21:36.501,1659511296.5012367,N,90,99,25,2,0,0,0,0,0,0
2022-08-03 15:21:36.518,1659511296.5182111,N,90,99,22,2,0,0,0,0,0,0
2022-08-03 15:21:36.534,1659511296.5347283,N,90,99,20,2,0,0,0,0,0,0
2022-08-03 15:21:36.551,1659511296.551167,N,90,99,19,2,0,0,0,0,0,0
2022-08-03 15:21:36.567,1659511296.5677254,N,90,99,19,2,0,0,0,0,0,0
2022-08-03 15:21:36.584,1659511296.5841198,N,90,99,19,2,0,0,0,0,0,0
2022-08-03 15:21:36.600,1659511296.600679,N,90,99,19,2,0,0,0,0,0,0
2022-08-03 15:21:36.619,1659511296.6191099,N,90,99,19,2,0,0,0,0,0,0
2022-08-03 15:21:36.634,1659511296.6348839,N,90,99,19,2,0,0,0,0,0,0
2022-08-03 15:21:36.651,1659511296.651301,N,90,99,19,2,0,0,0,0,0,0
2022-08-03 15:21:36.667,1659511296.6677642,N,90,99,18,2,0,0,0,0,0,0
2022-08-03 15:21:36.685,1659511296.685714,N,90,99,16,2,0,0,0,0,0,0
2022-08-03 15:21:36.704,1659511296.7040308,N,90,99,15,1,0,0,0,0,0,0
2022-08-03 15:21:36.719,1659511296.7192748,N,90,99,13,1,0,0,0,0,0,0
2022-08-03 15:21:36.735,1659511296.7351766,N,90,99,11,1,0,0,0,0,0,0
2022-08-03 15:21:36.752,1659511296.7522707,N,90,99,10,1,0,0,0,0,0,0
2022-08-03 15:21:36.770,1659511296.770646,N,90,99,9,1,0,0,0,0,0,0
2022-08-03 15:21:36.783,1659511296.7837095,N,90,99,7,0,0,0,0,0,0,0
2022-08-03 15:21:36.800,1659511296.800433,N,90,99,6,0,0,0,0,0,0,0
2022-08-03 15:21:36.817,1659511296.8174577,N,90,99,5,0,0,0,0,0,0,0
2022-08-03 15:21:36.832,1659511296.832419,N,90,99,3,0,0,0,0,0,0,0
2022-08-03 15:21:36.849,1659511296.8494086,N,90,99,2,0,0,0,0,0,0,0
2022-08-03 15:21:36.867,1659511296.867682,N,90,99,1,0,0,0,0,0,0,0
2022-08-03 15:21:36.885,1659511296.885974,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:36.901,1659511296.9010909,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:36.919,1659511296.9190435,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:36.934,1659511296.9348629,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:36.952,1659511296.9529665,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:36.968,1659511296.968463,N,90,99,3,0,0,0,0,0,0,0
2022-08-03 15:21:36.983,1659511296.9834268,N,90,99,8,1,0,0,0,0,0,0
2022-08-03 15:21:37.001,1659511297.0014107,N,90,99,14,2,0,0,0,0,0,0
2022-08-03 15:21:37.017,1659511297.0176353,N,90,99,21,3,0,0,0,0,0,0
2022-08-03 15:21:37.033,1659511297.033824,N,90,99,29,4,0,0,0,0,0,0
2022-08-03 15:21:37.050,1659511297.050209,N,90,99,34,4,0,0,0,0,0,0
2022-08-03 15:21:37.067,1659511297.067338,N,90,99,37,4,0,0,0,0,0,0
2022-08-03 15:21:37.084,1659511297.0840378,N,90,99,37,4,0,0,0,0,0,0
2022-08-03 15:21:37.103,1659511297.1031969,N,90,99,35,3,0,0,0,0,0,0
2022-08-03 15:21:37.118,1659511297.1182976,N,90,99,24,2,0,0,0,0,0,0
2022-08-03 15:21:37.136,1659511297.1362371,N,90,99,17,1,0,0,0,0,0,0
2022-08-03 15:21:37.152,1659511297.1523736,N,90,99,9,0,0,0,0,0,0,0
2022-08-03 15:21:37.167,1659511297.1677194,N,90,99,2,0,0,0,0,0,0,0
2022-08-03 15:21:37.185,1659511297.1857684,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.202,1659511297.2020988,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.219,1659511297.219331,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.235,1659511297.2353573,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.250,1659511297.2507482,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.268,1659511297.2683315,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.286,1659511297.2862825,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.300,1659511297.300622,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.316,1659511297.3161032,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.335,1659511297.3359897,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.351,1659511297.3517635,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.367,1659511297.3674269,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.383,1659511297.3834162,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.402,1659511297.4021883,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.418,1659511297.4187171,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.431,1659511297.4310324,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.450,1659511297.450476,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.466,1659511297.466916,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.481,1659511297.4810836,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.498,1659511297.49875,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.515,1659511297.515724,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.532,1659511297.532254,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.551,1659511297.551328,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.567,1659511297.5672436,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.583,1659511297.5837402,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.600,1659511297.600893,N,90,99,0,0,0,0,0,0,0,0
2022-08-03 15:21:37.616,1659511297.616831,N,90,99,0,0,0,0,0,0,0,0
